Date		Location	Operator	Fatalities	On-board
9-Sep-1973	Paintsville	Kentucky	Wicks Flying Service - Air Taxi	4	4
11-Sep-1973	Moganik	Yugoslavia	JAT Yugoslav Airlines	41	41
20-Sep-1973	Natchitoches	Louisiana	Private Charter	6	6
24-Sep-1973	Eagleville	California	Dunlap Aviation - Air Taxi	2	2
25-Sep-1973	Lincoln	Nebraska	Lisa Jet Inc. - Air Taxi	3	3
27-Sep-1973	Rich Mountain	Arkansas	Texas International Airlines	11	11
30-Sep-1973	Near Sverdlovsk	Russia	Aeroflot	108	108
30-Sep-1973	Miritituba	Brazil	Aeronorte	9	9
2-Oct-1973	Magadan	Russia	Aeroflot	10	10
4-Oct-1973	"Itaituba , PA"	Brazil	Taxi A�reo Cesar Aguiar	8	8
12-Oct-1973	Acapulco	Mexico	Avionas  Banamex	8	8
13-Oct-1973	Near  Domodedovo	Russia	Aeroflot	122	122
15-Oct-1973	Fort Smith AFB	Oklahoma	Military - U.S. Air Force	7	7
23-Oct-1973	Guanabara Bay	Brazil	VASP	8	65
29-Oct-1973		Sainte Lucia Island	CATA	4	4
31-Oct-1973	La Verne	California	Jack N. Boswick - Air Taxi	2	7
2-Nov-1973	Villavicencio	Colombia	Lineas A�reas La Urraca	6	16
3-Nov-1973	Near Albuquerque	New Mexico	National Airlines	1	128
3-Nov-1973	Boston	: Massachusetts	Pan American World Airways	3	3
17-Nov-1973	Near Quang-Ngai	South Vietnam	Air Vietnam (South Vietnam)	27	27
7-Dec-1973	Moscow	USSR	Aeroflot	13	75
9-Dec-1973	"Churchill Falls , Newfoundland"	Canada	Churchill Falls Co.	8	8
11-Dec-1973	Sitkin Island	Alaska	Military - U.S. Navy	10	10
16-Dec-1973	Near Karacharovo	USSR	Aeroflot	51	51
17-Dec-1973	Rome	Italy	Pan American World Airways	30	177
18-Dec-1973	Manhattan	Kansas	Capitol Air Service - Air Taxi	2	2
21-Dec-1973	Talara	Peru	TAM (Bolivia)	6	9
21-Dec-1973	Near Siagon	South Vietnam	Military - Vietnamese Air Force	20	20
22-Dec-1973	Near Tetouan	Morocco	Royal Air Maroc	106	106
23-Dec-1973	"Lvov , Ukraine"	USSR	Aeroflot	17	17
28-Dec-1973	Durban	South Africa	Executive Funds	1	25
1-Jan-1974	Near Turin	Italy	Itavia	38	42
6-Jan-1974	Unduavi	Bolivia	Servicios A�reos Boliviano	4	4
6-Jan-1974	Johnstown	Pennsylvania	Air East	12	17
6-Jan-1974	Mukachevo	Ukraine	Aeroflot	24	24
9-Jan-1974	Near Nevia	Colombia	SATENA	31	31
10-Jan-1974	La Paz	Bolivia	TAM (Bolivia)	24	24
17-Jan-1974	Cigorodo	Colombia	Cessnyca	14	14
25-Jan-1974	Goldendale	Washington	Inland Aviation - Air Taxi	2	2
25-Jan-1974	Rostov	USSR	Aeroflot	4	4
26-Jan-1974	Izmir	Turkey	Turkish Airlines (THY)	66	73
27-Jan-1974	S. Dominican Pueblo	New Mexico	Taos Airways - Air Taxi	3	3
28-Jan-1974	Winger	Minnesota	Theif River Aviation - Air Taxi	4	4
30-Jan-1974	Pago Pago	American Samoa	Pan American World Airways	97	101
2-Feb-1974	Near Honolulu	HI	Pan American World Airways	1	298
9-Feb-1974	Near Souda	Crete	Military - West German Air Force	35	40
10-Feb-1974		Atlantic Ocean	North Cay Air - Air Taxi	2	2
22-Feb-1974	Baltimore	Maryland	Delta Air Lines	1	15
23-Feb-1974	San Francisco de Moxos	Bolivia	SAVCO	7	7
28-Feb-1974	Near Mehrabad	Iran	Military - Imperial Iranian Air Force	10	10
3-Mar-1974	Near Ermenonville	France	Turkish Airlines (THY)	346	346
8-Mar-1974	Hanoi	Vietnam	Pathet Lao Airlines	18	18
11-Mar-1974	Carson City	Nevada	Executive Air - Air Taxi	4	4
13-Mar-1974	Bishop	California	Sierra Pacific Airlines	36	36
15-Mar-1974	Tehran	Iran	Sterling Airways	15	96
4-Apr-1974	Francistown	Botswana	Wenela Air Services	78	84
11-Apr-1974	Hilo	Hawaii	Island Air	11	11
22-Apr-1974	"Grogak , Bali"	Indonesia	Pan American World Airways	107	107
24-Apr-1974	Tashkent	Uzbekistan	Aeroflot	1	115
27-Apr-1974	Near Leningrad	USSR	Aeroflot	109	109
30-Apr-1974	Galveston	Texas	Houston Metro Airlines	6	12
2-May-1974	Banos	Ecuador	Aero Taxis Equatorianos	22	24
6-May-1974	Nurnberg	Germany	Fragtflug	3	3
23-May-1974	Springfield	Illinois	Saturn Airways	3	3
23-May-1974	"Kiev , Ukraine"	USSR	Aeroflot	29	29
31-May-1974	Rankin Inlet	Canada	Lambair	2	2
8-Jun-1974	Monte San Isidro	Colombia	Aerolineas TAO	44	44
27-Jun-1974	Battambang	Khmer Republic	Cambodia Air	19	39
30-Jun-1974	Umiat	Alaska	Alaska Helicopter - Air Taxi	5	5
24-Jul-1974	Bogota	Colombia	Aeronorte Colombia	3	3
27-Jul-1974	Near Moc Hoa	Vietnam	Air Amercia	5	5
5-Aug-1974	"Mt. Apica , PQ"	Canada	Laurentian Air Services	5	11
9-Aug-1974	Diemas	Syria	Military - Canadian Air Force	9	9
11-Aug-1974	Near Ouagadougou	Upper Volta	Air  Mali	47	60
12-Aug-1974	Cali	Colombia	AVIANCA	27	27
13-Aug-1974	Anaktuvuk	Alaska	Merric Aviation - Air Taxi	4	4
14-Aug-1974	Margarita Island	Venezuela	Linea Aeropostal Venezolana	49	49
18-Aug-1974	Near Kisangani	Zaire	Military - Zairean Air Force	31	31
18-Aug-1974	Near La Paz	Bolivia	Military - U.S. Air Force	7	7
7-Sep-1974	Tandjung-karang	Indonesia	Garuda Indonesia Airlines	36	39
8-Sep-1974	"Ionian Sea , off Kefallinia"	Greece	Trans World Airlines	88	88
11-Sep-1974	Near Charlotte	North Carolina	Eastern Air Lines	70	82
15-Sep-1974	Phan Rang	South Vietnam	Air Vietnam (South Vietnam)	75	75
19-Sep-1974	Riverside	California	Riverside Air	5	5
22-Sep-1974	Fairbanks	Alaska	Frontier Flying Service - Air Taxi	2	2
1-Oct-1974	Lupine	Alaska	Winship Air Service	6	6
2-Oct-1974	Off Saint Thomas	U.S. Virgin Islands	North Cay Airways	2	2
5-Oct-1974		Guatemala	?	6	?
9-Oct-1974	Medfra	Alaska	Evergreen Helicopter - Air Taxi	3	3
10-Oct-1974	Cairo	Egypt	EgyptAir	6	6
13-Oct-1974		Formosa Strait	Military - U.S. Air Force	6	6
17-Oct-1974	Kassan	Alaska	Webber Airlines -Air Taxi	5	8
19-Oct-1974	Calapan	Philippines	Mabuhay Airways	1	8
22-Oct-1974	Fort Apache	Arizona	Deming Flying Service - Air Taxi	2	2
24-Oct-1974	Blair	Oklahoma	AltusFlying Service - Air Taxi	2	4
24-Oct-1974	Chicao	Illinois	Henry Nichols - Air Taxi	2	3
27-Oct-1974	Old Man's Camp	Alaska	Alaska International Air	4	4
28-Oct-1974	Pagosa Springs	Colorado	Hlavka Aviation - Air Taxi	2	2
30-Oct-1974	"Rae Point , Northwest Territories"	Canada	Panarctic Oil	32	34
1-Nov-1974	Near Surgut	Russia	Aeroflot	38	38
7-Nov-1974	Off Sonderborg	Denmark	?	3	3
15-Nov-1974	Hoonah	Alaska	Southeast Sky - Air Taxi	4	4
15-Nov-1974	Manila	Philippines	Orient Air System and Integrated Services	1	8
20-Nov-1974	Soddu	Ethiopia	Ethiopian Airlines	2	24
20-Nov-1974	Near Nairobi	Kenya	Lufthansa	59	157
22-Nov-1974	Barcelona	Spain	Alpa Servicios A�reos	4	4
1-Dec-1974	Near Berryville	Virginia	Trans World Airlines	92	92
1-Dec-1974	"Bear Mountain , Thiells"	New York	Northwest Orient Airlines	3	3
4-Dec-1974	Irkutsk	Russia	Aeroflot	13	18
4-Dec-1974	Near Maskeliya	Sri Lanka	Martinair Holland NV	191	191
11-Dec-1974	Near Old Harbors	Alaska	Kodiak Airways	5	5
12-Dec-1974	Near Moc Hoa	South Vietnam	Military - Vietnamese Air Force	54	54
14-Dec-1974	Bukhara	Uzbekistan	Aeroflot	7	19
22-Dec-1974	Maturin	Venezuela	Aerovias Venezolanas SA (Venezuela)	77	77
26-Dec-1974	Riverton Heights	Washingon	Harbor Airlines - Air Taxi	4	6
28-Dec-1974	Tikal	Guatemala	?	18	?
29-Dec-1974	Near Sibiu	Romania	Tarom	33	33
3-Jan-1975	Moscow	Russia	Aeroflot	61	61
3-Jan-1975	Near Nha Trang	Vietnam	Air America	9	9
5-Jan-1975	Palmer	Washington	Richland Flying Service - Air Taxii	3	4
6-Jan-1975	Sierra del Aconquija	Argentina	Military - Argentine Navy	12	12
8-Jan-1975	Near Doncello	Colombia	SATENA	21	21
9-Jan-1975	Whittier	California	Golden West Airlines / Private	14	14
13-Jan-1975	Juneau	Alaska	Channel Flying Service - Air Taxi	5	5
15-Jan-1975	Budapest	Hunary	Malev Hungarian Airlines	9	9
16-Jan-1975	Xam Neua	Laos	Aeroflot	16	16
30-Jan-1975	Istanbul	Turkey	Turkish Airlines (THY)	42	42
30-Jan-1975	Santo Domingo	Dominican Republic	Linea A�rea Nacional	1	30
1-Feb-1975	Valdez	Alaska	Kenai Air Service - Air Taxi	2	2
1-Feb-1975	Houston	Texas	Horizon Properties	5	16
3-Feb-1975	Manila	Philippines	Philippine Air Lines	33	33
9-Feb-1975	Souda	Crete	Military - Deutsche Luftwaffe	40	40
16-Feb-1975	Fairbanks	Alaska	Pacific Alaska Airlines	3	3
22-Feb-1975	Medellin	Colombia	Aerocondor	5	5
27-Feb-1975	Near Sao Paulo	Brazil	VASP	15	15
5-Mar-1975	Waterford	Wisconsin	Burlington Air - Air Taxi	2	4
12-Mar-1975	Pleiku	South Vietnam	Air Vietnam (South Vietnam)	26	26
16-Mar-1975	Near Barito	Argentina	Military - Argentine Air Force	55	55
18-Mar-1975	Singa	Sudan	Sudan Airways	5	6
18-Mar-1975	Near Terney	Russia	Aeroflot	7	12
20-Mar-1975	Near Quilcene	Washington	Military - U.S. Air Force	16	16
4-Apr-1975	Saigon	South Vietnam	Military - U.S. Air Force	155	330
22-Apr-1975	Goleta	California	Skips Air Service - Air Taxi	3	3
28-Apr-1975	Deadhorse	Alaska	Gay Airways - Air Taxi	2	4
3-May-1975	Near Sardinata	Colombia	SATENA	3	6
10-May-1975	Off Cape Paterson	Australia	Air Express	2	2
12-May-1975	Savoonga	Alaska	Foster Aviation	6	6
13-May-1975	Near Sakon Nakhon	Thailand	Military - U.S. Air Force	23	23
3-Jun-1975	Manila	Philippines	Philippine Air Lines	1	64
17-Jun-1975	Pedro Alfonso	Brazil	Varig	1	15
24-Jun-1975	"JFK Airport , New York"	New York	Eastern Air Lines	113	124
26-Jun-1975	Toledo	Ohio	Hamilton Aviation	2	2
30-Jun-1975	Near Saravena	Colombia	Taxi Aereo El Venado	3	3
2-Jul-1975	Nantes	France	Touraine Air Transport	8	8
3-Jul-1975	Near Colina	Chile	Military - Chilian Air Force	10	10
10-Jul-1975	Homer	Alaska	Homer Air Service - Air Taxi	2	2
10-Jul-1975	Bogota	Colombia	Aerovias Condor	2	4
15-Jul-1975	Poway	California	Oceanaire Helicopter - Air Taxi	4	4
15-Jul-1975	"Near Batumi , Georgia"	USSR	Aeroflot	40	40
26-Jul-1975	Imlay City	Michigan	Military - U.S. Air Force	6	6
31-Jul-1975	Taipei	Taiwan	Far Eastern Air Transport	28	76
31-Jul-1975	Santiago	Chile	Military - Chilean Air Force	10	10
3-Aug-1975	Off Amapala	Honduras	Military - Nicaraguan Air Force	20	20
3-Aug-1975	Near Immouzer	Morocco	Alia Royal Jordanian Airlines	188	188
7-Aug-1975	Denver	Colorado	Continental Airlines	0	131
9-Aug-1975	Bagdarin	Russia	Aeroflot	11	11
15-Aug-1975	Krasnovodsk	USSR	Aeroflot	23	38
20-Aug-1975	Near Damascus	Syria	Ceskoslovenske Aerolinie	126	128
25-Aug-1975	Minford	Ohio	Portsmouth Aviation - Air Taxi	2	4
30-Aug-1975	Near Gambell	Alaska	Wien Air Alaska	10	32
30-Aug-1975	Off Punta Amapala	El Salvador	Military - Nicaraguan Air Force	20	20
1-Sep-1975	Leipzig-Halle	East Germany	Interflug	27	34
11-Sep-1975	Near Bahar Dar	Ethiopia	Ethiopian Airlines	1	9
24-Sep-1975	Near Palembang	Indonesia	Garuda Indonesia Airlines	25	61
30-Sep-1975	Off Beirut	Lebanon	Malev Hungarian Airlines	60	60
30-Sep-1975	Klua Tan Tan	Canada	Northern Thunderbird Air	7	7
30-Sep-1975	Barranquilla	Colombia	AVIANCA	4	4
22-Oct-1975	Novgorod	Russia	?	6	6
23-Oct-1975	"Cairns Airport , Queensland"	Australia	Connair	11	11
26-Oct-1975	Zephyr Cove	Nevada	Air Taxi	2	2
27-Oct-1975	Tomonoco	Bolivia	TAM (Bolivia)	67	67
30-Oct-1975	Near Prague	Czechoslovakia	Inex Adria Aviopromet	75	120
3-Nov-1975		Gulf of Mexico	Petroleum Helicopter	9	9
7-Nov-1975	State College	Pennsylvania	Quakertown Aviation - Air Taxi	4	4
9-Nov-1975	Willow	Alaska	Willow Air Service - Air Taxi	3	3
17-Nov-1975	"Near Sukhumi , Georgia"	USSR	Aeroflot	38	38
18-Nov-1975	Caoba	Guatemala	Aviateca	15	22
20-Nov-1975	"Kharkov , Ukraine"	USSR	Aeroflot	19	50
22-Nov-1975	Near Novgorod	USSR	Aeroflot	6	6
22-Nov-1975	Sofia	Bulgaria	Balkan Bulgarian Airlines	3	48
25-Nov-1975	Near Bir Lahfan	Egypt	Military - Israel  Air Force	20	20
29-Nov-1975	Hertfordshire	England	Private	6	6
30-Nov-1975	Elko	Nevada	Scenic Airline - Air Taxi	2	2
21-Dec-1975	Tacloban	Philippines	Philippine Aerotransport	9	9
26-Dec-1975	Rollinsville	Colorado	Star Aviation	9	9
1-Jan-1976	Near Al Qaysumah	Saudi Arabia	Middle East Airlines	82	82
3-Jan-1976	Moscow	Russia	Aeroflot	61	61
3-Jan-1976	Anchorage	Alaska	Winship Air	6	6
6-Jan-1976	Grants	New Mexico	Orlando Airways - Air Taxi	4	4
8-Jan-1976	Mactan Island	Philippines	Philippine Aerotransport	7	7
15-Jan-1976	Near Bogota	Colombia	Taxi Aereo el Venado	13	13
15-Jan-1976	Orofino	Idaho	Green Acres - Air Taxi	3	3
18-Jan-1976	Near San Borja	Bolivia	Frigorifico Maniqui	7	10
20-Jan-1976	Near Loja	Ecuador	TAME	34	42
21-Jan-1976	Near Shanghai	China	CAAC	40	40
22-Jan-1976	Chapeco	Brazil	Transbrasil	9	11
30-Jan-1976	Frunze	Kyrgyzstan	Aeroflot	6	6
3-Feb-1976	Lafayette	Louisiana	Falcon Airways - Air Taxi	2	2
4-Feb-1976	Off Santa Maria	Colombia	LAC Colombia	3	3
6-Feb-1976	Madrid	Spain	Military - U.S. Air Force	7	7
8-Feb-1976	Van Nuys	California	Mercer Airlines	3	6
9-Feb-1976	Irkutsk	Russia	Aeroflot	24	124
21-Feb-1976	St. Croix	Virgin Islands	Antilles Air	5	11
1-Mar-1976	Sibiu	Romania	Tarom	6	9
2-Mar-1976		Southeastern Bolivia	TAM (Bolivia)	19	22
6-Mar-1976	Near Voronezh	Russia	Aeroflot	111	111
7-Mar-1976	Igiugig	Alaska	Kodiak Western Alaska Airlines	4	4
7-Mar-1976	San Onofre	California	Sky Haven - Air Taxi	2	2
18-Mar-1976		Havana. Cuba	Cubana de Aviacion	5	5
2-Apr-1976	Near Puerto Asis	Colombia	SATENA	5	16
5-Apr-1976	Ketchikan	Alaska	Alaska Airlines	1	50
8-Apr-1976	Friday Harbor	Washington	North Sound Aviation	7	7
8-Apr-1976	Aspen	Colorado	Royal American - Air Taxi	2	2
14-Apr-1976	Neuquen	Argentina	Yacimientos Petroliferos Fiscales	34	34
15-Apr-1976	Palm Desert	California	Chartair - Air Taxi	6	6
23-Apr-1976		Gulf of Mexico	Petroleum Helicopter	12	12
27-Apr-1976	Anaktuvuk	Alaska	Frontier Flying Service - Air Taxi	5	5
27-Apr-1976	St. Thomas	Virgin Islands	American Airlines	37	88
4-May-1976	Near Monze	Zambia	de Havilland Aircraft	9	11
5-May-1976	Camuigan	Philippines	Philippine Aerotransport	4	10
9-May-1976	Near Cuneca	Spain	Military - Imperial Iranian Air Force	17	17
15-May-1976	"Chernigov , Ukraine"	USSR	Aeroflot	52	52
18-May-1976	Petersburg	Alaska	Lab Flying Service - Air Taxi	6	6
23-May-1976	Zamboanga	Philipines	Philippine Air Lines	14	87
1-Jun-1976	Nacias Nguema	Equatorial Guinea	Aeroflot	45	45
4-Jun-1976	Agana	Guam	Air Manila	45	45
6-Jun-1976	Off Kota Kinabalu	Malaysia	Sabah Air	12	12
10-Jun-1976	Somerset	Colorado	Sky Chopper  - Air Taxi	2	2
27-Jun-1976	Entebbe	Uganda	Air France	7	258
5-Jul-1976	Daiku	Burma	Military - Burma Air Force	17	17
24-Jul-1976	Huntsville	Missouri	Reed Aviation - Air Taxi	5	5
27-Jul-1976	Greensburg	Kansas	Capitol Air Service - Air Taxi	2	3
28-Jul-1976	Bratislava	Czechoslovakia	Ceskoslovenske Aerolinie	76	79
1-Aug-1976	Billings	Vermont	Mamer - Shreck  - Air Taxi	3	4
2-Aug-1976	Near Tehran	Iran	Korean Airlines	5	5
9-Aug-1976	Moron AFB	Spain		11	33
15-Aug-1976	Andes Mountains	Ecuador	SAETA	59	59
25-Aug-1976	Sunnyside	Utah	Green River Aviation - Air Taxi	3	3
28-Aug-1976	Near Thorney	England	Military - U.S. Air Force	18	18
28-Aug-1976	Sondre Stromfjord	Greenland	Military - U.S. Air Force	23	27
28-Aug-1976	Ho Chi Minh City	Vietnam	Air France	1	20
28-Aug-1976	Shanisu River	Peru	Aeroperu	6	6
2-Sep-1976	Hawk Inlet	Alaska	Temsco Helicopter - Air Taxi	3	4
3-Sep-1976	"Timmins , Ontario"	Canada	Austin Airways	10	10
3-Sep-1976	"Lajes , Azores"	Portugal	Military - Venezuelan Air Force	68	68
9-Sep-1976	Off Adler	Russia	Aeroflot / Aeroflot	64	64
10-Sep-1976	"Near Gaj , Hrvatska"	Yugoslavia	Inex Adria Aviopromet / British Airways	176	176
19-Sep-1976	Karatepe Mountains	Turkey	Turkish Airlines (THY)	154	154
22-Sep-1976	Near Mosher Creek	Canada	Air West Airlines Ltd.	1	19
22-Sep-1976	San Bernardino	California	Loma Linda University - Air Taxi	4	4
26-Sep-1976	Near Alpena	Michigan	Military - U.S. Air Force	15	20
4-Oct-1976	Nairobi	Kenya	Emirates Air Transport	4	4
6-Oct-1976	Off Bridgetown	Barbados	Cubana de Aviacion	73	73
9-Oct-1976	Busick	North Carolina	Aero National - Air Taxi	4	4
13-Oct-1976	Santa Cruz	Bolivia	Lloyd A�reo Boliviano	3	3
13-Oct-1976	Near Bombay	India	Indian Airlines	95	95
20-Oct-1976	Hampton	Virginia	Skyline Aviation - Air Taxi	4	4
25-Oct-1976	El Yopal	Colombia	Taxi Aereo el Venado	32	32
28-Oct-1976	Near Petrolia	Brazil	Nordeste Linhas A�reas	2	6
4-Nov-1976	Banjarmasin	Indonesia	Bali International Air Service	29	38
5-Nov-1976		Atlantic Ocean	Inair Panama	2	2
12-Nov-1976	Shannon	Ireland	Aeroleasing - Air Taxi	5	5
23-Nov-1976	"Eastville , Kisangani"	Congo	Pacific Western Airlines	6	6
23-Nov-1976	Kozani	Greece	Olympic Airways	50	50
28-Nov-1976	Moscow	Russia	Aeroflot	73	73
29-Nov-1976	Grand Canyon	Arizona	Grand Canyon Air - Air Taxi	2	2
12-Dec-1976	Cape May	New Jersey	Atlantic City Airlines	3	10
17-Dec-1976	Kiev	USSR	Aeroflot	48	55
17-Dec-1976	Ust-Kut	Russia	Aeroflot	7	7
18-Dec-1976	Nnear Yuzhno-Sakhalinsk	Russia	Aeroflot	8	8
25-Dec-1976	Near Bangkok	Thailand	EgyptAir	53	53
28-Dec-1976		Wisconson	Valley Air Service - Air Taxi	6	6
31-Dec-1976	Near Trujillo	Peru	Faucett	19	19
6-Jan-1977	Near Palm Springs	California	Jet Avia Charter	4	4
13-Jan-1977	"Near Alma Ata , Kazakastan"	USSR	Aeroflot	96	96
13-Jan-1977	Anchorage	Alaska	Japan Air Lines	5	5
14-Jan-1977	"Terrace , BC"	Canada	Northern Thunderbird Air Ltd.	12	12
15-Jan-1977	Kalvesta	Sweden	Skyline Sweden	22	22
20-Jan-1977		?	North Canada Air	1	2
27-Jan-1977	San Ramon	Bolivia	Transportes A�reos Itenez	6	6
11-Feb-1977	Bratislava	Slovakia	Ceskoslovensk� Aerolinie	5	5
15-Feb-1977	Mineralnye Vody	Russia	Aeroflot	77	98
28-Feb-1977	Near Saglouc	Canada	Survair	4	10
1-Mar-1977	Off Aden	Yemen	Alyemda	20	21
3-Mar-1977	Near Cascina	Italy	Military - Italian Air Force	44	44
4-Mar-1977	"Tezzeron Lake , British Columbia"	Canada	Private	5	5
4-Mar-1977	Niamey	Niger	Overseas National Airways	2	4
27-Mar-1977	Tenerife	Canary Islands	Pan American World Airways / KLM	583	644
29-Mar-1977	Bainaha Valley	Indonesia	Merpati Nusantara Airlines	15	23
30-Mar-1977	Near Sanga Sanga	Philippines	Swift Air	6	?
30-Mar-1977	Near Zhadanof	Russia	Aeroflot	8	27
4-Apr-1977	New Hope	Georgia	Southern Airways	62	85
10-Apr-1977	SW of Bogota	Colombia	Taxi Aereo el Venado	35	35
19-Apr-1977	Tapa AFB	Estonia	Military - Soviet Air Force	21	21
27-Apr-1977	Guatemala City	Guatemala	Aviateca	28	28
10-May-1977	Near Jericho	Jordan	Military - Israel Air Force	54	54
13-May-1977	Beiruit	Lebanon	LOT Polish Airlines	9	9
14-May-1977	Near Lusaka	Zambia	IAS Cargo	6	6
16-May-1977	New York	New York	New  York Helicopter	4	25
27-May-1977	Havana	Cuba	Aeroflot	67	69
31-May-1977	Houma	Louisiana	Intracostals - Air Taxi	3	3
3-Jun-1977	Natal	Brazil	Military - Brazilian Air Force	18	18
20-Jun-1977	Salto-Nueva Hesperides	Uruguay	Fuerza A�rea Uruguaya	5	15
21-Jun-1977		Off Wake Island	Military - U.S. Navy	16	16
6-Jul-1977	Saint Louis	Missouri	Fleming International Airways	3	3
8-Jul-1977	Off Kirovograd	Ukraine	Aeroflot	6	7
14-Jul-1977	Near Cuangar	Angola	Military - Angolan Air Force	30	30
20-Jul-1977	Jima	Ethiopia	Ethiopian Airlines	5	5
20-Jul-1977	Vitim	Russia	Aeroflot	30	40
21-Jul-1977	Ruby	Alaska	Harold's Air Service	1	4
24-Jul-1977	Near Puerto Montt	Chile	Military - Chilean Air Force	38	82
25-Jul-1977	Bernard Creek	Idaho	Gaige Aviation - Air Taxi	5	5
25-Jul-1977	Near Yoro	Honduras	Military - Honduran Air Force	25	40
1-Aug-1977	Encino	California	Private KNBC Los Angeles	2	2
7-Aug-1977	Near El Bolson	Argentina	LADE	6	6
11-Aug-1977	Engle	New Mexico	Southwest Aviation - Air Taxi	4	4
12-Aug-1977	Parkersburg	West Virginia	Rambar Aviation - Air Taxi	4	4
20-Aug-1977	San Jose	Costa Rica	Monarch Aviation	3	3
20-Aug-1977	Deadhorse	Alaska	Kenai Air Service - Air Taxi	3	3
25-Aug-1977	Kona	Hawaii	Island Airways	2	2
2-Sep-1977	Minto Lake	Alaska	Wright Air Service - Air Taxi	3	3
2-Sep-1977		Off Hong Kong	Transmeridian Air Cargo	4	4
4-Sep-1977	Near Cuenca	Ecuador	Servicios Aereos Nacionales Airways	33	33
6-Sep-1977	Mt. Iliamna	Alaska	Alaska Aeronautical Industries	13	13
8-Sep-1977	Mt. Loi Hsam Hsao	Burma	Burma Airways	19	19
12-Sep-1977	Yakutat	Alaska	Safe Air Cargo	4	4
14-Sep-1977	Near Albuquerque	New Mexico	Military - U.S. Air Force	20	20
22-Sep-1977	Bucharest	Romania	Malev Hungarian Airlines	29	53
23-Sep-1977	Salida	Colorado	Salida Flying Service - Air Taxi	6	6
27-Sep-1977	Kuala Lumpur	Malaysia	Japan Air Lines	34	79
1-Oct-1977	Stevens Pass	Washington	Kenmore Air  - Air Taxi	7	7
10-Oct-1977	Grand Chenier	Louisiana	Air Logistics	2	2
20-Oct-1977	Near Gillsburg	Mississippi	L & J Company	6	26
21-Oct-1977	Mindoro	Philippines	Military - U.S. Marine Corps	24	37
3-Nov-1977	Belgrade	Yugoslavia	El Al	1	?
3-Nov-1977	San Cristobal de las Casas	Mexico	Servicios Aereos Martinez Leon	13	13
19-Nov-1977	"Near Funchal , Island of Madeira"	Portugal	TAP (Air Portugal)	131	164
19-Nov-1977	Rome	Italy	Ethiopian Airlines	5	5
21-Nov-1977	Near Bariloche	Argentina	Austral Lineas Aeras (Argentina)	46	79
21-Nov-1977	Near Point Hope	Alaska	Munz Northern Airlines	2	2
26-Nov-1977	Near Beziers	France	Military - French Air Force	34	34
29-Nov-1977	Pinehurst	North Carolina	Resort Air Service - Air Taxi	2	2
2-Dec-1977	Near Al Bayda	Lebanon	Balkan Bulgarian Airlines	59	165
4-Dec-1977	"Straits of Johore , near Kampung Ladang"	Malaysia	Malaysia Airlines	100	100
8-Dec-1977	Intracostal City	Louisiana	Petroleum Helicopter	17	19
9-Dec-1977	Tarko-Saley	USSR	Aeroflot	17	23
11-Dec-1977	Hierro	Canary Islands	Military - U.S. Navy	13	13
13-Dec-1977	Evansville	Indiana	"National Jet Services Inc.,  (Air Indiana)"	29	29
14-Dec-1977	Davenport	Indiana	Straley Flying Service - Air Taxi	2	2
18-Dec-1977	Near Salt Lake City	Utah	United Air Lines	3	3
18-Dec-1977	Off Madeira	Portugal	SATA	36	57
19-Dec-1977	Vieques	Puerto Rico	Vieques Air Link	5	10
21-Dec-1977	Nanisivik	Canada	Kenn Borek Air	8	8
22-Dec-1977	Giddings	Texas	Aviation Charter - Air Taxi	2	2
24-Dec-1977	"Willemstad , Curacao"	Netherlands Antilles	Valley Air Service	10	10
29-Dec-1977	Cuenca	Ecuador	Servicios Aereos Nacionales	24	24
1-Jan-1978	"Off Bandra , Maharashtra"	India	Air India	213	213
6-Jan-1978	Marion	Illinois	Aviation Charter - Air Taxi	2	2
24-Jan-1978	Dubois	Pennsylvania	Henry Webber Air - Air Taxi	2	2
27-Jan-1978	Near San Vincente	Colombia	SADELCA	14	14
31-Jan-1978	Eirunepe	Brazil	TABA	2	14
10-Feb-1978	Near Artigas	Uruguay	Military - Uruguayan Air Force	44	44
10-Feb-1978	Richland	Washington	Columbia Pacific Airlines	17	17
11-Feb-1978	"Cranbrook , British Columbia"	Canada	Pacific Western Airlines	42	49
18-Feb-1978	Genoa Peak	Nevada	Chartair - Air Taxi	4	4
27-Feb-1978	Merrill Pass	Alaska	Yute Air Alaska - Air Taxi	3	3
28-Feb-1978	Solvang	California	Security Air	7	7
1-Mar-1978	Agana	Guam	Island Air	2	6
1-Mar-1978	"LAX , Los Angeles"	California	Continental Airlines	2	200
2-Mar-1978	Kano	Nigeria	Nigeria Airways	18	18
3-Mar-1978	Off Caracas	Venezuela	LAV - Linea Aeropostal Venezolana	47	47
7-Mar-1978	Laurel	Mississippi	Hesler Noble - Air Taxi	2	2
14-Mar-1978	Whitelake	Michigan	Wyman Pilot Service - Air Taxi	2	2
16-Mar-1978	Vrastsa	Bulgaria	Balkan Bulgarian Airlines	73	73
22-Mar-1978	Near Riverside	California	Lake Havasu Air	6	6
25-Mar-1978	Okaraba	Burma	Burma Airways	48	48
26-Mar-1978	"Volta Redonda , Rio de Janeiro"	Brazil	Aero Clube de Volta Redonda	4	4
4-Apr-1978	Off Galveston	Texas	Air Logistics	3	6
5-Apr-1978	St. Thomas	Virgin Islands	Antilles Air	2	9
20-Apr-1978	Near Murmansk	Russia	Korean Airlines	2	109
