Date		Location	Operator	Fatalities	On-board
6-Jul-1960	Off Barnegat City	New Jersey	Military - U.S. Navy	18	21
10-Jul-1960		Persian Gulf	Gulf Aviation (Kalinga Airways)	16	16
11-Jul-1960	Near Quito	Ecuador	Military - U.S. Misson	18	18
14-Jul-1960	Off Manila	Philippines	Northwest Orient Airlines	1	58
15-Jul-1960	Near Jima	Ethiopia	Ethiopian Airlines	1	11
19-Jul-1960	Near Goma	Zaire	Military - Royal Belgian Air Force	37	41
20-Jul-1960	Near Syktyvkar	Russia	Aeroflot	23	23
27-Jul-1960	Forest Park	Illinois	Chicago Helicopter Airways	13	13
31-Jul-1960	Near Rimini	Italy	Deutsche Flugdienst	1	34
1-Aug-1960	Near Tipuani	Bolivia	TAM (Bolivia)	6	6
17-Aug-1960	"Kiev , Ukraine"	USSR	Aeroflot	35	35
17-Aug-1960	Near El Kelaa	Morocco	Military - French Naval Aviation	20	20
17-Aug-1960	Near Kiev	Ukraine	Aeroflot	34	34
24-Aug-1960	Off Heraklion	Greece	Don Everall Aviation	3	3
29-Aug-1960	Off Dakar	Senegal	Air France	63	63
2-Sep-1960	Near Zikhnovo	Russia	Aeroflot	18	18
7-Sep-1960	Near Salto	Uruguay	Aerolineas Argentinas	31	31
19-Sep-1960	"Agana , Guam"	Mariana Islands	World Airways	80	94
22-Sep-1960	Off Naha	Okinawa	Military - U.S. Marine Corps	29	29
26-Sep-1960	Moscow	Russia	Austrian Airlines	31	37
28-Sep-1960	Near Juchetipec	Mexico	Mexicana	8	18
29-Sep-1960	Off Elba	Italy	United Arab Airlines	21	21
4-Oct-1960	Boston	Massachusetts	Eastern Air Lines	62	72
14-Oct-1960	Elba	Italy	Itavia	11	11
15-Oct-1960	Plain City	Utah	Capitol Airways	2	2
21-Oct-1960	Ust-Orda	Russia	Aeroflot	3	3
28-Oct-1960	Near Missoula	Montana	Northwest Orient Airlines	12	12
29-Oct-1960	Key West	Florida	Cubana de Aviacion	1	37
29-Oct-1960	Toledo	Ohio	Arctic Pacific	22	48
5-Nov-1960	Bhairawa	Nepal	Royal Nepal Airlines	4	4
7-Nov-1960	Near Quito	Ecuador	AREA	37	37
23-Nov-1960	Manila	Philippines	Philippine Air Lines	33	33
4-Dec-1960	Chernovo	Russia	Aeroflot	14	14
7-Dec-1960	Cachimbo	Brazil	REAL	15	15
11-Dec-1960	San Andres de Giles	Argentina	Military - Argentine Air Force	31	31
